Geography,year,category,estimate
GLOUCESTER,2010,35 to 39 years,8600
GLOUCESTER,2010,40 to 44 years,10714
GLOUCESTER,2010,45 to 49 years,11844
GLOUCESTER,2010,5 to 9 years,19458
GLOUCESTER,2010,50 to 54 years,10912
GLOUCESTER,2010,55 to 59 years,8731
GLOUCESTER,2010,60 and 61 years,3810
GLOUCESTER,2010,62 to 64 years,4486
GLOUCESTER,2010,65 and 66 years,2114
GLOUCESTER,2010,67 to 69 years,2421
GLOUCESTER,2010,70 to 74 years,4058
GLOUCESTER,2010,75 to 79 years,2762
GLOUCESTER,2010,80 to 84 years,2028
GLOUCESTER,2010,85 years and over,1351
GLOUCESTER,2010,Female,148273
GLOUCESTER,2010,Male,140308
GLOUCESTER,2010,Total,288581
GLOUCESTER,2010,Under 5 years,17272
GLOUCESTER,2011,10 to 14 years,21456
GLOUCESTER,2011,15 to 17 years,6496
GLOUCESTER,2011,18 and 19 years,4331
GLOUCESTER,2011,20 years,2851
GLOUCESTER,2011,21 years,1423
GLOUCESTER,2011,22 to 24 years,5299
GLOUCESTER,2011,25 to 29 years,8264
GLOUCESTER,2011,30 to 34 years,8407
GLOUCESTER,2011,35 to 39 years,9121
GLOUCESTER,2011,40 to 44 years,9989
GLOUCESTER,2011,45 to 49 years,11050
GLOUCESTER,2011,5 to 9 years,18202
GLOUCESTER,2011,50 to 54 years,11181
GLOUCESTER,2011,55 to 59 years,8401
GLOUCESTER,2011,60 and 61 years,3778
GLOUCESTER,2011,62 to 64 years,5242
GLOUCESTER,2011,65 and 66 years,2376
GLOUCESTER,2011,67 to 69 years,2671
GLOUCESTER,2011,70 to 74 years,4111
GLOUCESTER,2011,75 to 79 years,2121
GLOUCESTER,2011,80 to 84 years,2317
GLOUCESTER,2011,85 years and over,1672
GLOUCESTER,2011,Female,149201
GLOUCESTER,2011,Male,139903
GLOUCESTER,2011,Total,289104
GLOUCESTER,2011,Under 5 years,17164
GLOUCESTER,2012,10 to 14 years,19434
GLOUCESTER,2012,15 to 17 years,6486
GLOUCESTER,2012,18 and 19 years,3499
GLOUCESTER,2012,20 years,3614
GLOUCESTER,2012,21 years,2408
GLOUCESTER,2012,22 to 24 years,4551
GLOUCESTER,2012,25 to 29 years,8117
GLOUCESTER,2012,30 to 34 years,8292
GLOUCESTER,2012,35 to 39 years,7901
GLOUCESTER,2012,40 to 44 years,10350
GLOUCESTER,2012,45 to 49 years,11195
GLOUCESTER,2012,5 to 9 years,19659
GLOUCESTER,2012,50 to 54 years,11519
GLOUCESTER,2012,55 to 59 years,9359
GLOUCESTER,2012,60 and 61 years,3940
GLOUCESTER,2012,62 to 64 years,4269
GLOUCESTER,2012,65 and 66 years,2554
GLOUCESTER,2012,67 to 69 years,3517
GLOUCESTER,2012,70 to 74 years,4122
GLOUCESTER,2012,75 to 79 years,2731
GLOUCESTER,2012,80 to 84 years,2187
GLOUCESTER,2012,85 years and over,1440
GLOUCESTER,2012,Female,148790
GLOUCESTER,2012,Male,140796
GLOUCESTER,2012,Total,289586
GLOUCESTER,2012,Under 5 years,16456
GLOUCESTER,2013,10 to 14 years,19866
GLOUCESTER,2013,15 to 17 years,6623
GLOUCESTER,2013,18 and 19 years,3541
GLOUCESTER,2013,20 years,1730
GLOUCESTER,2013,21 years,1899
GLOUCESTER,2013,22 to 24 years,6034
GLOUCESTER,2013,25 to 29 years,9402
GLOUCESTER,2013,30 to 34 years,7967
GLOUCESTER,2013,35 to 39 years,8796
GLOUCESTER,2013,40 to 44 years,9455
GLOUCESTER,2013,45 to 49 years,10802
GLOUCESTER,2013,5 to 9 years,18827
GLOUCESTER,2013,50 to 54 years,11512
GLOUCESTER,2013,55 to 59 years,10479
GLOUCESTER,2013,60 and 61 years,3097
GLOUCESTER,2013,62 to 64 years,4360
GLOUCESTER,2013,65 and 66 years,2402
GLOUCESTER,2013,67 to 69 years,3895
GLOUCESTER,2013,70 to 74 years,4575
GLOUCESTER,2013,75 to 79 years,2627
GLOUCESTER,2013,80 to 84 years,2209
GLOUCESTER,2013,85 years and over,1544
GLOUCESTER,2013,Female,149103
GLOUCESTER,2013,Male,141162
GLOUCESTER,2013,Total,290265
GLOUCESTER,2013,Under 5 years,16685
GLOUCESTER,2014,10 to 14 years,19878
GLOUCESTER,2014,15 to 17 years,6031
GLOUCESTER,2014,18 and 19 years,3575
GLOUCESTER,2014,20 years,1425
GLOUCESTER,2014,21 years,1895
GLOUCESTER,2014,22 to 24 years,6561
GLOUCESTER,2014,25 to 29 years,9156
GLOUCESTER,2014,30 to 34 years,8332
GLOUCESTER,2014,35 to 39 years,8466
GLOUCESTER,2014,40 to 44 years,9682
GLOUCESTER,2014,45 to 49 years,10362
GLOUCESTER,2014,5 to 9 years,18404
GLOUCESTER,2014,50 to 54 years,11252
GLOUCESTER,2014,55 to 59 years,10618
GLOUCESTER,2014,60 and 61 years,4172
GLOUCESTER,2014,62 to 64 years,3933
GLOUCESTER,2014,65 and 66 years,2965
GLOUCESTER,2014,67 to 69 years,4351
GLOUCESTER,2014,70 to 74 years,4082
GLOUCESTER,2014,75 to 79 years,2352
GLOUCESTER,2014,80 to 84 years,1755
GLOUCESTER,2014,85 years and over,2193
GLOUCESTER,2014,Female,150079
GLOUCESTER,2014,Male,140872
GLOUCESTER,2014,Total,290951
GLOUCESTER,2014,Under 5 years,15898
GLOUCESTER,2015,10 to 14 years,18717
GLOUCESTER,2015,15 to 17 years,6375
GLOUCESTER,2015,18 and 19 years,3623
GLOUCESTER,2015,20 years,2631
GLOUCESTER,2015,21 years,2941
GLOUCESTER,2015,22 to 24 years,4984
GLOUCESTER,2015,25 to 29 years,8694
GLOUCESTER,2015,30 to 34 years,7929
GLOUCESTER,2015,35 to 39 years,7049
GLOUCESTER,2015,40 to 44 years,11606
GLOUCESTER,2015,45 to 49 years,9642
GLOUCESTER,2015,5 to 9 years,18883
GLOUCESTER,2015,50 to 54 years,11487
GLOUCESTER,2015,55 to 59 years,10879
GLOUCESTER,2015,60 and 61 years,4448
GLOUCESTER,2015,62 to 64 years,4077
GLOUCESTER,2015,65 and 66 years,2474
GLOUCESTER,2015,67 to 69 years,4298
GLOUCESTER,2015,70 to 74 years,4620
GLOUCESTER,2015,75 to 79 years,3348
GLOUCESTER,2015,80 to 84 years,1952
GLOUCESTER,2015,85 years and over,1499
GLOUCESTER,2015,Female,149705
GLOUCESTER,2015,Male,141774
GLOUCESTER,2015,Total,291479
GLOUCESTER,2015,Under 5 years,15773
HUDSON,2006,10 to 14 years,39912
HUDSON,2006,15 to 17 years,11698
HUDSON,2006,18 and 19 years,7334
HUDSON,2006,20 years,4376
HUDSON,2006,21 years,3182
HUDSON,2006,22 to 24 years,13115
HUDSON,2006,25 to 29 years,24609
HUDSON,2006,30 to 34 years,29556
HUDSON,2006,35 to 39 years,31054
HUDSON,2006,40 to 44 years,24344
HUDSON,2006,45 to 49 years,21623
HUDSON,2006,5 to 9 years,31915
HUDSON,2006,50 to 54 years,17842
HUDSON,2006,55 to 59 years,14495
HUDSON,2006,60 and 61 years,4922
HUDSON,2006,62 to 64 years,6334
HUDSON,2006,65 and 66 years,3734
HUDSON,2006,67 to 69 years,3999
HUDSON,2006,70 to 74 years,7073
HUDSON,2006,75 to 79 years,5480
HUDSON,2006,80 to 84 years,3133
HUDSON,2006,85 years and over,2487
HUDSON,2006,Female,302893
HUDSON,2006,Male,298253
HUDSON,2006,Total,601146
HUDSON,2006,Under 5 years,41313
HUDSON,2007,10 to 14 years,37815
HUDSON,2007,15 to 17 years,11260
HUDSON,2007,18 and 19 years,7249
HUDSON,2007,20 years,4740
HUDSON,2007,21 years,4595
HUDSON,2007,22 to 24 years,11954
HUDSON,2007,25 to 29 years,23752
HUDSON,2007,30 to 34 years,28945
HUDSON,2007,35 to 39 years,32920
HUDSON,2007,40 to 44 years,23407
HUDSON,2007,45 to 49 years,22353
HUDSON,2007,5 to 9 years,31078
HUDSON,2007,50 to 54 years,18190
HUDSON,2007,55 to 59 years,14006
HUDSON,2007,60 and 61 years,6013
HUDSON,2007,62 to 64 years,6002
HUDSON,2007,65 and 66 years,2777
HUDSON,2007,67 to 69 years,4884
HUDSON,2007,70 to 74 years,7659
HUDSON,2007,75 to 79 years,5128
HUDSON,2007,80 to 84 years,2875
HUDSON,2007,85 years and over,2423
HUDSON,2007,Female,301146
HUDSON,2007,Male,297014
HUDSON,2007,Total,598160
HUDSON,2007,Under 5 years,39851
HUDSON,2008,10 to 14 years,35659
HUDSON,2008,15 to 17 years,10373
HUDSON,2008,18 and 19 years,7488
HUDSON,2008,20 years,4292
HUDSON,2008,21 years,3182
HUDSON,2008,22 to 24 years,13063
HUDSON,2008,25 to 29 years,22807
HUDSON,2008,30 to 34 years,27906
HUDSON,2008,35 to 39 years,30977
HUDSON,2008,40 to 44 years,25830
HUDSON,2008,45 to 49 years,22798
HUDSON,2008,5 to 9 years,32948
HUDSON,2008,50 to 54 years,18626
HUDSON,2008,55 to 59 years,14703
HUDSON,2008,60 and 61 years,5807
HUDSON,2008,62 to 64 years,5954
HUDSON,2008,65 and 66 years,3897
HUDSON,2008,67 to 69 years,4128
HUDSON,2008,70 to 74 years,7249
HUDSON,2008,75 to 79 years,4910
HUDSON,2008,80 to 84 years,3450
HUDSON,2008,85 years and over,2072
HUDSON,2008,Female,299657
HUDSON,2008,Male,295762
HUDSON,2008,Total,595419
HUDSON,2008,Under 5 years,40526
HUDSON,2009,10 to 14 years,30098
HUDSON,2009,15 to 17 years,10029
HUDSON,2009,18 and 19 years,6994
HUDSON,2009,20 years,4661
HUDSON,2009,21 years,3983
HUDSON,2009,22 to 24 years,11918
HUDSON,2009,25 to 29 years,32705
HUDSON,2009,30 to 34 years,33266
HUDSON,2009,35 to 39 years,27955
HUDSON,2009,40 to 44 years,19925
HUDSON,2009,45 to 49 years,21358
HUDSON,2009,5 to 9 years,33969
HUDSON,2009,50 to 54 years,18264
HUDSON,2009,55 to 59 years,13920
HUDSON,2009,60 and 61 years,5455
HUDSON,2009,62 to 64 years,7546
HUDSON,2009,65 and 66 years,3907
HUDSON,2009,67 to 69 years,5245
HUDSON,2009,70 to 74 years,6236
HUDSON,2009,75 to 79 years,3852
HUDSON,2009,80 to 84 years,4194
HUDSON,2009,85 years and over,2140
HUDSON,2009,Female,301482
HUDSON,2009,Male,296442
HUDSON,2009,Total,597924
HUDSON,2009,Under 5 years,39327
HUDSON,2010,10 to 14 years,31233
HUDSON,2010,15 to 17 years,10847
HUDSON,2010,18 and 19 years,8533
HUDSON,2010,20 years,4063
HUDSON,2010,21 years,3909
HUDSON,2010,22 to 24 years,16707
HUDSON,2010,25 to 29 years,34500
HUDSON,2010,30 to 34 years,32857
HUDSON,2010,35 to 39 years,28407
HUDSON,2010,40 to 44 years,21213
HUDSON,2010,45 to 49 years,21436
HUDSON,2010,5 to 9 years,35287
HUDSON,2010,50 to 54 years,19511
HUDSON,2010,55 to 59 years,17511
HUDSON,2010,60 and 61 years,5242
HUDSON,2010,62 to 64 years,6478
HUDSON,2010,65 and 66 years,4388
HUDSON,2010,67 to 69 years,5061
HUDSON,2010,70 to 74 years,6784
HUDSON,2010,75 to 79 years,3657
HUDSON,2010,80 to 84 years,4698
HUDSON,2010,85 years and over,2206
HUDSON,2010,Female,321584
HUDSON,2010,Male,313710
HUDSON,2010,Total,635294
HUDSON,2010,Under 5 years,42343
HUDSON,2011,10 to 14 years,32774
HUDSON,2011,15 to 17 years,11004
HUDSON,2011,18 and 19 years,7935
HUDSON,2011,20 years,5357
HUDSON,2011,21 years,3916
HUDSON,2011,22 to 24 years,15131
HUDSON,2011,25 to 29 years,35051
HUDSON,2011,30 to 34 years,33888
HUDSON,2011,35 to 39 years,26024
HUDSON,2011,40 to 44 years,24687
HUDSON,2011,45 to 49 years,21337
HUDSON,2011,5 to 9 years,34535
HUDSON,2011,50 to 54 years,19713
HUDSON,2011,55 to 59 years,16569
HUDSON,2011,60 and 61 years,5329
HUDSON,2011,62 to 64 years,8223
HUDSON,2011,65 and 66 years,4648
HUDSON,2011,67 to 69 years,5355
HUDSON,2011,70 to 74 years,6023
HUDSON,2011,75 to 79 years,5158
HUDSON,2011,80 to 84 years,3209
HUDSON,2011,85 years and over,2794
HUDSON,2011,Female,323074
HUDSON,2011,Male,318150
HUDSON,2011,Total,641224
HUDSON,2011,Under 5 years,43650
HUDSON,2012,10 to 14 years,32744
HUDSON,2012,15 to 17 years,10699
HUDSON,2012,18 and 19 years,7934
HUDSON,2012,20 years,5029
HUDSON,2012,21 years,4130
HUDSON,2012,22 to 24 years,15685
HUDSON,2012,25 to 29 years,35447
HUDSON,2012,30 to 34 years,35020
HUDSON,2012,35 to 39 years,26063
HUDSON,2012,40 to 44 years,25744
HUDSON,2012,45 to 49 years,21660
HUDSON,2012,5 to 9 years,35634
HUDSON,2012,50 to 54 years,20077
HUDSON,2012,55 to 59 years,16231
HUDSON,2012,60 and 61 years,7105
HUDSON,2012,62 to 64 years,7744
HUDSON,2012,65 and 66 years,4243
HUDSON,2012,67 to 69 years,4453
HUDSON,2012,70 to 74 years,8015
HUDSON,2012,75 to 79 years,4876
HUDSON,2012,80 to 84 years,3564
HUDSON,2012,85 years and over,2905
HUDSON,2012,Female,328131
HUDSON,2012,Male,324171
HUDSON,2012,Total,652302
HUDSON,2012,Under 5 years,44124
HUDSON,2013,10 to 14 years,32386
HUDSON,2013,15 to 17 years,10211
HUDSON,2013,18 and 19 years,7704
HUDSON,2013,20 years,5119
HUDSON,2013,21 years,4016
HUDSON,2013,22 to 24 years,15341
HUDSON,2013,25 to 29 years,35544
HUDSON,2013,30 to 34 years,35846
HUDSON,2013,35 to 39 years,27961
HUDSON,2013,40 to 44 years,25161
HUDSON,2013,45 to 49 years,21904
HUDSON,2013,5 to 9 years,36258
HUDSON,2013,50 to 54 years,20602
HUDSON,2013,55 to 59 years,17414
HUDSON,2013,60 and 61 years,6441
HUDSON,2013,62 to 64 years,7893
HUDSON,2013,65 and 66 years,5315
HUDSON,2013,67 to 69 years,6099
HUDSON,2013,70 to 74 years,6450
HUDSON,2013,75 to 79 years,5476
HUDSON,2013,80 to 84 years,2796
HUDSON,2013,85 years and over,2819
HUDSON,2013,Female,331773
HUDSON,2013,Male,328509
HUDSON,2013,Total,660282
HUDSON,2013,Under 5 years,45551
HUDSON,2014,10 to 14 years,34648
HUDSON,2014,15 to 17 years,10388
HUDSON,2014,18 and 19 years,7380
HUDSON,2014,20 years,4724
HUDSON,2014,21 years,4632
HUDSON,2014,22 to 24 years,15063
HUDSON,2014,25 to 29 years,35345
HUDSON,2014,30 to 34 years,36638
HUDSON,2014,35 to 39 years,30946
HUDSON,2014,40 to 44 years,22871
HUDSON,2014,45 to 49 years,21907
HUDSON,2014,5 to 9 years,34982
HUDSON,2014,50 to 54 years,21072
HUDSON,2014,55 to 59 years,15539
HUDSON,2014,60 and 61 years,5806
HUDSON,2014,62 to 64 years,11305
HUDSON,2014,65 and 66 years,4846
HUDSON,2014,67 to 69 years,5686
HUDSON,2014,70 to 74 years,7486
HUDSON,2014,75 to 79 years,5585
HUDSON,2014,80 to 84 years,3040
HUDSON,2014,85 years and over,3096
HUDSON,2014,Female,336447
HUDSON,2014,Male,332668
HUDSON,2014,Total,669115
HUDSON,2014,Under 5 years,46514
HUDSON,2015,10 to 14 years,32595
HUDSON,2015,15 to 17 years,10345
HUDSON,2015,18 and 19 years,7121
HUDSON,2015,20 years,3891
HUDSON,2015,21 years,4102
HUDSON,2015,22 to 24 years,15903
HUDSON,2015,25 to 29 years,35436
HUDSON,2015,30 to 34 years,37136
HUDSON,2015,35 to 39 years,29281
HUDSON,2015,40 to 44 years,25545
HUDSON,2015,45 to 49 years,21778
HUDSON,2015,5 to 9 years,37049
HUDSON,2015,50 to 54 years,21042
HUDSON,2015,55 to 59 years,17512
HUDSON,2015,60 and 61 years,7351
HUDSON,2015,62 to 64 years,9011
HUDSON,2015,65 and 66 years,5251
HUDSON,2015,67 to 69 years,5131
HUDSON,2015,70 to 74 years,8398
HUDSON,2015,75 to 79 years,5036
HUDSON,2015,80 to 84 years,4055
HUDSON,2015,85 years and over,2814
HUDSON,2015,Female,339217
HUDSON,2015,Male,335619
HUDSON,2015,Total,674836
HUDSON,2015,Under 5 years,46967
HUNTERDON,2006,10 to 14 years,9541
HUNTERDON,2006,15 to 17 years,2858
HUNTERDON,2006,18 and 19 years,1724
HUNTERDON,2006,20 years,902
HUNTERDON,2006,21 years,762
HUNTERDON,2006,22 to 24 years,2729
HUNTERDON,2006,25 to 29 years,2730
HUNTERDON,2006,30 to 34 years,2882
HUNTERDON,2006,35 to 39 years,4566
HUNTERDON,2006,40 to 44 years,5355
HUNTERDON,2006,45 to 49 years,6366
HUNTERDON,2006,5 to 9 years,8393
HUNTERDON,2006,50 to 54 years,6030
HUNTERDON,2006,55 to 59 years,5239
HUNTERDON,2006,60 and 61 years,960
HUNTERDON,2006,62 to 64 years,2454
HUNTERDON,2006,65 and 66 years,1178
HUNTERDON,2006,67 to 69 years,1163
HUNTERDON,2006,70 to 74 years,1736
HUNTERDON,2006,75 to 79 years,777
HUNTERDON,2006,80 to 84 years,1162
HUNTERDON,2006,85 years and over,586
HUNTERDON,2006,Female,65931
HUNTERDON,2006,Male,64852
HUNTERDON,2006,Total,130783
HUNTERDON,2006,Under 5 years,6848
HUNTERDON,2007,10 to 14 years,8204
HUNTERDON,2007,15 to 17 years,3027
HUNTERDON,2007,18 and 19 years,1481
HUNTERDON,2007,20 years,679
HUNTERDON,2007,21 years,957
HUNTERDON,2007,22 to 24 years,2414
HUNTERDON,2007,25 to 29 years,2673
HUNTERDON,2007,30 to 34 years,2826
HUNTERDON,2007,35 to 39 years,3562
HUNTERDON,2007,40 to 44 years,6165
HUNTERDON,2007,45 to 49 years,6320
HUNTERDON,2007,5 to 9 years,9003
HUNTERDON,2007,50 to 54 years,6129
HUNTERDON,2007,55 to 59 years,4716
HUNTERDON,2007,60 and 61 years,2009
HUNTERDON,2007,62 to 64 years,1717
HUNTERDON,2007,65 and 66 years,619
HUNTERDON,2007,67 to 69 years,1512
HUNTERDON,2007,70 to 74 years,2029
HUNTERDON,2007,75 to 79 years,1196
HUNTERDON,2007,80 to 84 years,814
HUNTERDON,2007,85 years and over,451
HUNTERDON,2007,Female,65817
HUNTERDON,2007,Male,63531
HUNTERDON,2007,Total,129348
HUNTERDON,2007,Under 5 years,6558
HUNTERDON,2008,10 to 14 years,9212
HUNTERDON,2008,15 to 17 years,2791
HUNTERDON,2008,18 and 19 years,1889
HUNTERDON,2008,20 years,486
HUNTERDON,2008,21 years,1811
HUNTERDON,2008,22 to 24 years,2019
HUNTERDON,2008,25 to 29 years,2769
HUNTERDON,2008,30 to 34 years,2577
HUNTERDON,2008,35 to 39 years,3629
HUNTERDON,2008,40 to 44 years,6385
HUNTERDON,2008,45 to 49 years,5794
HUNTERDON,2008,5 to 9 years,7570
HUNTERDON,2008,50 to 54 years,5610
HUNTERDON,2008,55 to 59 years,5232
HUNTERDON,2008,60 and 61 years,1430
HUNTERDON,2008,62 to 64 years,2328
HUNTERDON,2008,65 and 66 years,1069
HUNTERDON,2008,67 to 69 years,1214
HUNTERDON,2008,70 to 74 years,1971
HUNTERDON,2008,75 to 79 years,1335
HUNTERDON,2008,80 to 84 years,489
HUNTERDON,2008,85 years and over,672
HUNTERDON,2008,Female,65707
HUNTERDON,2008,Male,63324
HUNTERDON,2008,Total,129031
HUNTERDON,2008,Under 5 years,6186
HUNTERDON,2009,10 to 14 years,8740
HUNTERDON,2009,15 to 17 years,3144
HUNTERDON,2009,18 and 19 years,1685
HUNTERDON,2009,20 years,781
HUNTERDON,2009,21 years,1024
HUNTERDON,2009,22 to 24 years,1928
HUNTERDON,2009,25 to 29 years,2116
HUNTERDON,2009,30 to 34 years,2497
HUNTERDON,2009,35 to 39 years,3337
HUNTERDON,2009,40 to 44 years,6460
HUNTERDON,2009,45 to 49 years,6783
HUNTERDON,2009,5 to 9 years,9461
HUNTERDON,2009,50 to 54 years,6325
HUNTERDON,2009,55 to 59 years,4289
HUNTERDON,2009,60 and 61 years,2066
HUNTERDON,2009,62 to 64 years,2253
HUNTERDON,2009,65 and 66 years,954
HUNTERDON,2009,67 to 69 years,1696
HUNTERDON,2009,70 to 74 years,1791
HUNTERDON,2009,75 to 79 years,1585
HUNTERDON,2009,80 to 84 years,1010
HUNTERDON,2009,85 years and over,572
HUNTERDON,2009,Female,64913
HUNTERDON,2009,Male,65121
HUNTERDON,2009,Total,130034
HUNTERDON,2009,Under 5 years,6634
HUNTERDON,2010,10 to 14 years,9023
HUNTERDON,2010,15 to 17 years,2985
HUNTERDON,2010,18 and 19 years,1738
HUNTERDON,2010,20 years,1055
HUNTERDON,2010,21 years,1035
HUNTERDON,2010,22 to 24 years,2200
HUNTERDON,2010,25 to 29 years,2441
HUNTERDON,2010,30 to 34 years,2448
HUNTERDON,2010,35 to 39 years,3233
HUNTERDON,2010,40 to 44 years,4731
HUNTERDON,2010,45 to 49 years,5997
HUNTERDON,2010,5 to 9 years,9232
HUNTERDON,2010,50 to 54 years,6802
HUNTERDON,2010,55 to 59 years,5581
HUNTERDON,2010,60 and 61 years,1575
HUNTERDON,2010,62 to 64 years,2039
HUNTERDON,2010,65 and 66 years,1332
HUNTERDON,2010,67 to 69 years,1564
HUNTERDON,2010,70 to 74 years,2141
HUNTERDON,2010,75 to 79 years,1209
HUNTERDON,2010,80 to 84 years,1157
HUNTERDON,2010,85 years and over,397
HUNTERDON,2010,Female,64310
HUNTERDON,2010,Male,64063
HUNTERDON,2010,Total,128373
HUNTERDON,2010,Under 5 years,6000
HUNTERDON,2011,10 to 14 years,7931
HUNTERDON,2011,15 to 17 years,3031
HUNTERDON,2011,18 and 19 years,1619
HUNTERDON,2011,20 years,921
HUNTERDON,2011,21 years,316
HUNTERDON,2011,22 to 24 years,2552
HUNTERDON,2011,25 to 29 years,3034
HUNTERDON,2011,30 to 34 years,2389
HUNTERDON,2011,35 to 39 years,3782
HUNTERDON,2011,40 to 44 years,4801
HUNTERDON,2011,45 to 49 years,6155
HUNTERDON,2011,5 to 9 years,9709
HUNTERDON,2011,50 to 54 years,6128
HUNTERDON,2011,55 to 59 years,5427
HUNTERDON,2011,60 and 61 years,1987
HUNTERDON,2011,62 to 64 years,2043
HUNTERDON,2011,65 and 66 years,1090
HUNTERDON,2011,67 to 69 years,1666
HUNTERDON,2011,70 to 74 years,1912
HUNTERDON,2011,75 to 79 years,1476
HUNTERDON,2011,80 to 84 years,1255
HUNTERDON,2011,85 years and over,373
HUNTERDON,2011,Female,64207
HUNTERDON,2011,Male,63831
HUNTERDON,2011,Total,128038
HUNTERDON,2011,Under 5 years,5676
HUNTERDON,2012,10 to 14 years,9893
HUNTERDON,2012,15 to 17 years,2889
HUNTERDON,2012,18 and 19 years,1610
HUNTERDON,2012,20 years,577
HUNTERDON,2012,21 years,760
HUNTERDON,2012,22 to 24 years,3044
HUNTERDON,2012,25 to 29 years,2495
HUNTERDON,2012,30 to 34 years,2427
HUNTERDON,2012,35 to 39 years,2889
HUNTERDON,2012,40 to 44 years,4827
HUNTERDON,2012,45 to 49 years,5633
HUNTERDON,2012,5 to 9 years,7170
HUNTERDON,2012,50 to 54 years,6639
HUNTERDON,2012,55 to 59 years,6052
HUNTERDON,2012,60 and 61 years,1549
HUNTERDON,2012,62 to 64 years,2245
HUNTERDON,2012,65 and 66 years,1296
HUNTERDON,2012,67 to 69 years,1592
HUNTERDON,2012,70 to 74 years,2181
HUNTERDON,2012,75 to 79 years,889
HUNTERDON,2012,80 to 84 years,1233
HUNTERDON,2012,85 years and over,960
HUNTERDON,2012,Female,64230
HUNTERDON,2012,Male,62820
HUNTERDON,2012,Total,127050
HUNTERDON,2012,Under 5 years,5087
HUNTERDON,2013,10 to 14 years,9021
HUNTERDON,2013,15 to 17 years,3382
HUNTERDON,2013,18 and 19 years,2043
HUNTERDON,2013,20 years,1357
HUNTERDON,2013,21 years,877
HUNTERDON,2013,22 to 24 years,3061
HUNTERDON,2013,25 to 29 years,2396
HUNTERDON,2013,30 to 34 years,2412
HUNTERDON,2013,35 to 39 years,3357
HUNTERDON,2013,40 to 44 years,3232
HUNTERDON,2013,45 to 49 years,5442
HUNTERDON,2013,5 to 9 years,6456
HUNTERDON,2013,50 to 54 years,6586
HUNTERDON,2013,55 to 59 years,5600
HUNTERDON,2013,60 and 61 years,1750
HUNTERDON,2013,62 to 64 years,2299
HUNTERDON,2013,65 and 66 years,1616
HUNTERDON,2013,67 to 69 years,1400
HUNTERDON,2013,70 to 74 years,2593
HUNTERDON,2013,75 to 79 years,1404
HUNTERDON,2013,80 to 84 years,1093
HUNTERDON,2013,85 years and over,542
HUNTERDON,2013,Female,62494
HUNTERDON,2013,Male,63756
HUNTERDON,2013,Total,126250
HUNTERDON,2013,Under 5 years,5210
HUNTERDON,2014,10 to 14 years,9342
HUNTERDON,2014,15 to 17 years,3164
HUNTERDON,2014,18 and 19 years,1780
HUNTERDON,2014,20 years,646
HUNTERDON,2014,21 years,1181
HUNTERDON,2014,22 to 24 years,3132
HUNTERDON,2014,25 to 29 years,3556
HUNTERDON,2014,30 to 34 years,2604
HUNTERDON,2014,35 to 39 years,3418
HUNTERDON,2014,40 to 44 years,3743
HUNTERDON,2014,45 to 49 years,4790
HUNTERDON,2014,5 to 9 years,6600
HUNTERDON,2014,50 to 54 years,6020
HUNTERDON,2014,55 to 59 years,6099
HUNTERDON,2014,60 and 61 years,1115
HUNTERDON,2014,62 to 64 years,2815
HUNTERDON,2014,65 and 66 years,1699
HUNTERDON,2014,67 to 69 years,2003
HUNTERDON,2014,70 to 74 years,2067
HUNTERDON,2014,75 to 79 years,901
HUNTERDON,2014,80 to 84 years,1204
HUNTERDON,2014,85 years and over,958
HUNTERDON,2014,Female,62673
HUNTERDON,2014,Male,63394
HUNTERDON,2014,Total,126067
HUNTERDON,2014,Under 5 years,4248
HUNTERDON,2015,10 to 14 years,9021
HUNTERDON,2015,15 to 17 years,3549
HUNTERDON,2015,18 and 19 years,1825
HUNTERDON,2015,20 years,791
HUNTERDON,2015,21 years,637
HUNTERDON,2015,22 to 24 years,3247
HUNTERDON,2015,25 to 29 years,2825
HUNTERDON,2015,30 to 34 years,2770
HUNTERDON,2015,35 to 39 years,3022
HUNTERDON,2015,40 to 44 years,3222
HUNTERDON,2015,45 to 49 years,4868
HUNTERDON,2015,5 to 9 years,6858
HUNTERDON,2015,50 to 54 years,6015
HUNTERDON,2015,55 to 59 years,5759
HUNTERDON,2015,60 and 61 years,2078
HUNTERDON,2015,62 to 64 years,2400
HUNTERDON,2015,65 and 66 years,1147
HUNTERDON,2015,67 to 69 years,2620
HUNTERDON,2015,70 to 74 years,2114
HUNTERDON,2015,75 to 79 years,1708
HUNTERDON,2015,80 to 84 years,718
HUNTERDON,2015,85 years and over,877
HUNTERDON,2015,Female,62638
HUNTERDON,2015,Male,62850
HUNTERDON,2015,Total,125488
HUNTERDON,2015,Under 5 years,4494
MERCER,2006,10 to 14 years,25238
MERCER,2006,15 to 17 years,7888
MERCER,2006,18 and 19 years,6376
MERCER,2006,20 years,2484
MERCER,2006,21 years,3655
MERCER,2006,22 to 24 years,8120
MERCER,2006,25 to 29 years,12702
MERCER,2006,30 to 34 years,12921
MERCER,2006,35 to 39 years,13157
MERCER,2006,40 to 44 years,14817
MERCER,2006,45 to 49 years,14623
MERCER,2006,5 to 9 years,21874
MERCER,2006,50 to 54 years,12210
MERCER,2006,55 to 59 years,9345
MERCER,2006,60 and 61 years,3511
MERCER,2006,62 to 64 years,5829
MERCER,2006,65 and 66 years,2284
MERCER,2006,67 to 69 years,3369
MERCER,2006,70 to 74 years,3934
