buyer_county,year,population,perc_age_up_to_24,blind_and_disability,Estimate; White alone,estimate_race_total,unemployment_rate_bls,prescription_rate,dosage_rate_per_100,potential_pills_per_prescription
Salem,2007,65864,31.8,1246,53048,66016,5,77.4,3034.700291509778,39.20801410219351
Salem,2008,65974,31.4,1283,53522,66141,6.1,77.7,3141.464819474338,40.43069265732739
Salem,2009,65982,32,1324,52967,66342,10.6,80.8,3516.4590342820766,43.52053260250096
Salem,2010,65982,32,1392,53833,66058,11.6,80.6,4046.5581522233338,50.20543613180315
Salem,2011,65984,31.6,1488,52283,65902,11.6,79.5,4158.735451018429,52.311137748659476
Salem,2012,66007,32,1494,51094,65774,11.8,79.9,4049.44930083173,50.68146809551602
Somerset,2006,314993,32.2,1550,243382,324186,3.5,37.3,1141.2218684224729,30.595760547519383
Somerset,2007,317128,32.6,1530,241204,323552,3.1,40,1358.336696854267,33.95841742135667
Somerset,2008,318856,31.7,1595,239766,324563,4,41.6,1559.5955541059286,37.49027774293097
Somerset,2009,320712,32.1,1675,237329,326869,7.3,42.9,1520.6796128613835,35.44707722287607
Somerset,2010,319347,31.4,1782,226154,324194,7.6,43.8,1652.5942000394555,37.73046118811543
Somerset,2011,321304,31.299999999999997,1937,226708,324893,7.4,43.6,1840.0922490849787,42.20395066708667
Somerset,2012,323650,31.1,2023,226376,327707,7.4,42,1889.6153251969722,44.99084107611838
Sussex,2006,150508,33.2,1263,144127,153384,4.2,51.8,1915.6197677199884,36.981076596910974
Sussex,2007,150600,32.8,1250,141021,151478,3.9,51.8,2422.491367861886,46.76624262281633
Sussex,2008,150145,31.9,1292,140288,150909,4.9,52.1,3071.983749042592,58.96321975129736
Sussex,2009,151239,32.2,1381,141658,151118,8.6,54,2491.0373647009037,46.13032156853525
Sussex,2010,149996,30.7,1420,140068,149239,9.4,60,2681.99818661831,44.699969776971834
Sussex,2011,149589,31,1463,139545,148517,9.2,62.2,2934.353461818717,47.17610067232664
Sussex,2012,148962,30.5,1465,137187,147442,9,67,2973.9933674359904,44.38796070799985
Union,2006,525153,33.7,6857,315418,531088,4.9,43.2,1542.0671689964638,35.69599928232555
Union,2007,524960,34,6952,303621,524658,4.5,45.6,2206.1088463882966,48.37957996465562
Union,2008,527528,33.8,6985,318893,523249,5.6,48,1950.1656784094873,40.628451633530986
Union,2009,522050,33.2,7244,315103,526426,9.3,49.6,2035.973565750407,41.04785414819369
Union,2010,529547,32.9,7603,319203,537661,9.5,50.2,2034.2511618421029,40.52293151079886
Union,2011,532378,32.9,7841,305703,539494,9.5,51.2,2233.6272347843073,43.625531929381
Union,2012,536383,32.7,8113,323137,543976,9.5,49.2,2060.210707647334,41.874201374945805
Warren,2006,109059,32,1030,99275,110919,4.2,60.7,2009.170265636032,33.1000043762114
Warren,2007,109179,32.6,1034,101531,109737,3.8,65.2,2395.244506727484,36.7368789375381
Warren,2008,109264,31.7,1075,100410,109876,4.9,67,2703.4064284668325,40.34934967860944
Warren,2009,109567,31.6,1104,99301,109638,8.7,66.2,2612.711856672173,39.46694647541047
Warren,2010,108982,31,1153,99477,108714,9.8,71,2810.500816648621,39.58451854434677
Warren,2011,108829,30.6,1186,96554,108339,9.1,75,3149.03196758217,41.9870929010956
Warren,2012,108488,30.6,1217,95858,107653,8.7,78.7,3140.874566772362,39.909460823028745
