Geography,year,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Total:,Margin of Error; Total:,Total; Estimate; AGE - Under 5 years,Total; Estimate; AGE - 5 to 9 years,Total; Estimate; AGE - 10 to 14 years,Total; Estimate; AGE - 15 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Total; Margin of Error; AGE - Under 5 years,Total; Margin of Error; AGE - 5 to 9 years,Total; Margin of Error; AGE - 10 to 14 years,Total; Margin of Error; AGE - 15 to 19 years,Total; Margin of Error; AGE - 20 to 24 years,Total; Margin of Error; AGE - 25 to 29 years,Total; Margin of Error; AGE - 30 to 34 years,Total; Margin of Error; AGE - 35 to 39 years,Total; Margin of Error; AGE - 40 to 44 years,Total; Margin of Error; AGE - 45 to 49 years,Total; Margin of Error; AGE - 50 to 54 years,Total; Margin of Error; AGE - 55 to 59 years,Total; Margin of Error; AGE - 60 to 64 years,Total; Margin of Error; AGE - 65 to 69 years,Total; Margin of Error; AGE - 70 to 74 years,Total; Margin of Error; AGE - 75 to 79 years,Total; Margin of Error; AGE - 80 to 84 years,Total; Margin of Error; AGE - 85 years and over,Male; Estimate; Total population,Male; Margin of Error; Total population,Female; Estimate; Total population,Female; Margin of Error; Total population,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over,unemployment_rate_bls
"Warren County, New Jersey",2010,99477,976,4294,508,118,134,2601,522,0,281,761,591,1463,932,468,693,995,634,108714,NA,5.6,7.8,6.2,6.4,5,4.6,5.5,6.8,7.6,8.7,8.6,6.6,6.2,4,3.3,2.7,2.5,1.8,0.2,0.7,0.8,0.5,0.4,0.3,0.5,0.8,0.9,0.3,0.5,0.8,0.7,0.6,0.5,0.7,0.5,0.5,52717,658,55997,658,8.9,1.5,9.8
"Atlantic County, New Jersey",2011,179270,3187,44368,2832,1822,1871,21428,730,59,109,18490,4305,8901,2952,4408,2493,4493,1354,274338,NA,6,6.1,6.6,7.1,6.6,6,5.6,5.8,6.9,8.1,7.9,6.4,6.4,4.6,3.4,2.6,1.8,2.2,0.1,0.6,0.6,0.4,0.4,0.2,0.1,0.7,0.7,0.1,0.1,0.6,0.6,0.4,0.4,0.4,0.3,0.4,133115,312,141223,312,14.9,1.9,12.5
"Bergen County, New Jersey",2011,654563,6838,53277,1786,1022,991,134508,2268,232,377,51470,7000,15932,2901,3589,1162,12343,2425,911004,NA,5.4,6.3,6.4,6.5,5.2,5.6,6,6.3,7.8,8.1,8,7,6.1,4.6,3,2.6,2.5,2.5,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,439602,583,471402,583,7.8,0.6,7.7
"Burlington County, New Jersey",2011,330917,3237,73921,1903,374,235,20437,1139,206,200,9985,2952,13736,2420,2502,913,11234,2220,449576,NA,5.6,6.2,6.7,6.6,6,5.9,5.8,6.3,7.3,8.3,8.3,6.9,6,4,3.3,2.7,2.1,1.9,0.1,0.4,0.4,0.1,0.2,0.1,0.1,0.5,0.5,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.2,220727,409,228849,409,9.8,1,8.7
"Camden County, New Jersey",2011,333172,4001,94751,2458,1111,341,27084,849,293,342,40039,3980,16791,3135,4734,1252,12057,2763,513241,NA,6.4,6.5,6.9,6.7,6.6,6.7,6.5,5.8,7.3,7.5,7.7,6.8,5.6,3.9,2.9,2.2,1.8,2.3,0.1,0.3,0.3,0.1,0.2,0.2,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.2,0.2,0.2,0.2,247842,236,265399,236,13.5,1.1,10.8
"Cumberland County, New Jersey",2011,99207,3293,33423,1623,2543,1251,2347,199,0,198,14758,3031,4817,1363,2541,1136,2276,888,157095,NA,6.8,6.2,6.9,6.6,6.7,7.4,7.5,6.7,7.4,7.1,6.8,5.8,5.6,3.8,3.1,2.1,2,1.6,0.1,0.8,0.8,0.4,0.4,0.2,0.4,0.7,0.7,0.3,0.1,0.6,0.6,0.4,0.4,0.4,0.4,0.3,80160,491,76935,491,14.1,2.2,12.9
"Essex County, New Jersey",2011,347152,6142,311382,3534,1569,602,36482,1417,108,185,64491,6043,23953,3602,5544,1830,18409,3134,785137,NA,6.9,6.9,6.7,6.9,6.8,6.7,7,7.1,7.5,7.4,7.2,6.2,5,3.6,2.6,1.9,1.5,2.1,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,376917,326,408220,326,14.6,1,10.8
"Gloucester County, New Jersey",2011,239025,1420,28684,2004,986,821,8643,450,93,165,5146,1667,6527,2353,347,255,6180,2374,289104,NA,5.9,6.3,7.4,6.9,6.5,6,6,6.9,6.9,8,8.1,6.3,6.4,3.8,3,1.8,2,1.8,0.1,0.5,0.5,0.3,0.4,0.4,0.2,0.6,0.6,0.2,0.2,0.5,0.5,0.4,0.4,0.2,0.3,0.3,139903,639,149201,639,11.6,1.5,10.2
"Hudson County, New Jersey",2011,351987,8279,80169,4231,2366,857,87569,1699,552,591,99555,9138,19026,3611,7229,1917,11797,3136,641224,NA,6.8,5.4,5.1,5.6,7.3,10.8,10.3,8,7.2,6.7,6.3,5.4,4.6,3.4,2.3,1.8,1.3,1.5,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.1,0.2,318150,311,323074,311,11.3,1,9.2
"Hunterdon County, New Jersey",2011,115503,1226,3541,329,53,78,4202,585,0,198,2925,1217,1814,752,803,645,1011,543,128038,NA,4.4,7.6,6.2,7,4.9,4.3,3.9,6,7.7,9.8,9.9,8,6.8,4.7,2.9,2.6,2.4,1.1,0.4,0.8,0.7,0.3,0.4,0.4,0.3,0.9,1,0.3,0.3,0.8,0.9,0.5,0.5,0.5,0.5,0.4,63831,527,64207,527,7.1,1.8,6.9
"Mercer County, New Jersey",2011,225447,4300,74193,1919,634,224,33077,2107,0,198,26500,4908,7212,1924,1850,989,5362,1399,367063,NA,5.9,6.3,6.3,7.4,7.5,6.4,6.3,6.9,7,7.6,7.5,6.5,5.7,3.9,2.7,2.5,2.1,1.8,0.1,0.5,0.5,0.2,0.2,0.2,0.1,0.7,0.6,0.1,0.1,0.5,0.5,0.3,0.3,0.3,0.4,0.3,179688,390,187375,390,10.8,1.2,8.3
"Middlesex County, New Jersey",2011,511710,4734,77386,2174,1481,786,178840,2238,674,755,25142,4948,18984,3116,5110,1532,13874,2697,814217,NA,6.1,6.3,6.3,7,7.1,6.7,7,7.1,7.2,7.5,7.4,6.6,5.1,3.5,3,2.1,1.9,2,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,400767,229,413450,229,8.8,0.8,8.7
