Geography,year,variable_name,variable,estimate,moe
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!60 and 61 years,B01001_018,1436,510
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!62 to 64 years,B01001_019,1741,739
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!65 and 66 years,B01001_020,693,266
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!67 to 69 years,B01001_021,1335,377
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!70 to 74 years,B01001_022,1730,391
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!75 to 79 years,B01001_023,1582,406
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!80 to 84 years,B01001_024,1134,447
"Cumberland County, New Jersey",2006,Estimate!!Total!!Male!!85 years and over,B01001_025,645,298
"Cumberland County, New Jersey",2006,Estimate!!Total!!Female,B01001_026,74874,279
"Cumberland County, New Jersey",2006,Estimate!!Total!!Female!!Under 5 years,B01001_027,5325,135
"Cumberland County, New Jersey",2006,Estimate!!Total!!Female!!5 to 9 years,B01001_028,5561,871
"Cumberland County, New Jersey",2006,Estimate!!Total!!Female!!10 to 14 years,B01001_029,4091,872
"Essex County, New Jersey",2006,Estimate!!Total,B01001_001,786147,0
"Essex County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,377649,369
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,29758,221
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,28720,1822
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,28470,1822
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,17234,303
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,10860,290
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,7232,1153
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,5039,1031
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,13906,1410
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,25962,263
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,25422,4
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,29055,1878
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,29088,1875
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,28999,120
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,24656,304
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,21372,1427
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!60 and 61 years,B01001_018,7103,1128
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!62 to 64 years,B01001_019,8584,1154
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!65 and 66 years,B01001_020,4324,924
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!67 to 69 years,B01001_021,6067,914
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!70 to 74 years,B01001_022,10304,1135
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!75 to 79 years,B01001_023,6425,793
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!80 to 84 years,B01001_024,5242,922
"Essex County, New Jersey",2006,Estimate!!Total!!Male!!85 years and over,B01001_025,3827,751
"Essex County, New Jersey",2006,Estimate!!Total!!Female,B01001_026,408498,369
"Essex County, New Jersey",2006,Estimate!!Total!!Female!!Under 5 years,B01001_027,28200,228
"Essex County, New Jersey",2006,Estimate!!Total!!Female!!5 to 9 years,B01001_028,27786,1918
"Essex County, New Jersey",2006,Estimate!!Total!!Female!!10 to 14 years,B01001_029,26732,1918
"Gloucester County, New Jersey",2006,Estimate!!Total,B01001_001,282031,0
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,137558,586
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,8040,236
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,8599,990
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,10194,1005
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,6980,424
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,4515,606
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,3047,640
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,2124,674
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,5313,1010
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,9391,843
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,8955,457
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,9115,1044
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,11744,994
"Gloucester County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,11871,344
